"","Population","Size.Variable","Soil.Metric","Slope","P.value","p_bonf_corrected","Significance.reg","Significance.bonf","p_holm_corrected","p_hoch_corrected","p_fdr_corrected","Significance.holm","Significance.hoch","Significance.fdr"
"291","SD","CS","Sand 0-5",-0.138087574702385,0.036,1,"Y","N",1,0.994,0.09504,"N","N","N"
"292","SD","CS","Sand 100-200",-0.0608028554100603,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"293","SD","CS","Ph 0-5",0.0014310042072568,0.962,1,"N","N",1,0.994,0.984891640866873,"N","N","N"
"294","SD","CS","Ph 100-200",0.108699365171889,0.442,1,"N","N",1,0.994,0.612857142857143,"N","N","N"
"295","SD","CS","Volume of water content -10 kpa 0-5",0.654688691812884,0.016,1,"Y","N",1,0.994,0.0528,"N","N","N"
"296","SD","CS","Volume of water content -10 kpa 100-200",-0.667601059107282,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"297","SD","CS","Volume of water content -33 kpa 0-5",-0.195037981607877,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"298","SD","CS","Volume of water content -33 kpa 100-200",-0.123847132517928,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"299","SD","CS","Volume of water content -1500 kpa 0-5",-0.349474253939624,0.012,1,"Y","N",1,0.994,0.044,"N","N","Y"
"300","SD","CS","Volume of water content -1500 kpa 100-200",0.14760062112446,0.38,1,"N","N",1,0.994,0.547598253275109,"N","N","N"
"301","SD","CS","Nitrogen 0-5",-0.00542175084181609,0.724,1,"N","N",1,0.994,0.841267605633803,"N","N","N"
"302","SD","CS","Nitrogen 100-200",-0.0139154274010562,0.678,1,"N","N",1,0.994,0.813214285714286,"N","N","N"
"303","SD","CS","Soil Organic Carbon 0-5",-0.00652735368572316,0.634,1,"N","N",1,0.994,0.780671641791045,"N","N","N"
"304","SD","CS","Soil Organic Carbon 100-200",-0.00733758091714684,0.84,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"305","SD","CS","Sand Available Water 0-5",-0.153345368047662,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"306","SD","CS","Sand Available Water 100-200",-0.13030080950034,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"307","SD","CS","Clay/Loam Available Water 0-5",0.578406391487895,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"308","SD","CS","Clay/Loam Available Water 100-200",-0.330738523220698,0.022,1,"Y","N",1,0.994,0.0678504672897196,"N","N","N"
"309","SD","DBH","Clay 0-5",0.0176764504451623,0.034,1,"Y","N",1,0.994,0.091219512195122,"N","N","N"
"310","SD","DBH","Clay 100-200",0.00272902776143163,0.046,1,"Y","N",1,0.994,0.117674418604651,"N","N","N"
"311","SD","DBH","Silt 0-5",0.00970981089872975,0.068,1,"N","N",1,0.994,0.153698630136986,"N","N","N"
"312","SD","DBH","Silt 100-200",0.0191216856611749,0.016,1,"Y","N",1,0.994,0.0528,"N","N","N"
"313","SD","DBH","Sand 0-5",-0.00692716363592573,0.054,1,"N","N",1,0.994,0.13007299270073,"N","N","N"
"314","SD","DBH","Sand 100-200",-0.00259178349989594,0.032,1,"Y","N",1,0.994,0.0872727272727273,"N","N","N"
"315","SD","DBH","Ph 0-5",0.0243051746667141,0.03,1,"Y","N",1,0.994,0.0838983050847458,"N","N","N"
"316","SD","DBH","Ph 100-200",0.0168784799775597,0.02,1,"Y","N",1,0.994,0.0634615384615385,"N","N","N"
"317","SD","DBH","Volume of water content -10 kpa 0-5",0.0328292718206189,0.034,1,"Y","N",1,0.994,0.091219512195122,"N","N","N"
"318","SD","DBH","Volume of water content -10 kpa 100-200",-0.0400690867039839,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"319","SD","DBH","Volume of water content -33 kpa 0-5",-0.00970498642385688,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"320","SD","DBH","Volume of water content -33 kpa 100-200",-0.00526167646185119,0.014,1,"Y","N",1,0.994,0.0486315789473684,"N","N","Y"
"321","SD","DBH","Volume of water content -1500 kpa 0-5",-0.0321197637150396,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"322","SD","DBH","Volume of water content -1500 kpa 100-200",-0.000772824570451256,0.908,1,"N","N",1,0.994,0.965750798722045,"N","N","N"
"323","SD","DBH","Nitrogen 0-5",0.0010894927861266,0.23,1,"N","N",1,0.994,0.370243902439024,"N","N","N"
"324","SD","DBH","Nitrogen 100-200",0.00207210420573212,0.35,1,"N","N",1,0.994,0.520896860986547,"N","N","N"
"325","SD","DBH","Soil Organic Carbon 0-5",-0.000509897075158273,0.538,1,"N","N",1,0.994,0.698671875,"N","N","N"
"326","SD","DBH","Soil Organic Carbon 100-200",0.00110190051272788,0.78,1,"N","N",1,0.994,0.878498293515358,"N","N","N"
"327","SD","DBH","Sand Available Water 0-5",-0.00556236767377505,0.086,1,"N","N",1,0.994,0.179620253164557,"N","N","N"
"328","SD","DBH","Sand Available Water 100-200",-0.00532593456771022,0.014,1,"Y","N",1,0.994,0.0486315789473684,"N","N","Y"
"329","SD","DBH","Clay/Loam Available Water 0-5",0.0451050732206409,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"330","SD","DBH","Clay/Loam Available Water 100-200",-0.0142312009895516,0.08,1,"N","N",1,0.994,0.171428571428571,"N","N","N"
